Year,Gas Price ,Inflation Categorization
2003,1.5,mid
2003,1.655,mid
2003,1.734,mid
2003,1.633,mid
2003,1.539,mid
2003,1.533,mid
2003,1.554,mid
2003,1.661,mid
2003,1.721,mid
2003,1.606,mid
2003,1.555,lo
2003,1.522,lo
2004,1.614,lo
2004,1.69,lo
2004,1.778,lo
2004,1.839,mid
2004,2.023,mid
2004,2.013,mid
2004,1.954,mid
2004,1.92,mid
2004,1.912,mid
2004,2.042,mid
2004,2.023,mid
2004,1.887,mid
2005,1.875,mid
2005,1.953,mid
2005,2.12,mid
2005,2.285,mid
2005,2.205,mid
2005,2.198,mid
2005,2.333,mid
2005,2.529,mid
2005,2.951,hi
2005,2.765,hi
2005,2.303,mid
2005,2.229,mid
2006,2.36,hi
2006,2.326,mid
2006,2.468,mid
2006,2.787,mid
2006,2.953,hi
2006,2.93,hi
2006,3.025,hi
2006,2.999,mid
2006,2.606,mid
2006,2.293,lo
2006,2.275,mid
2006,2.369,mid
2007,2.289,mid
2007,2.323,mid
2007,2.609,mid
2007,2.891,mid
2007,3.187,mid
2007,3.102,mid
2007,3.011,mid
2007,2.834,mid
2007,2.849,mid
2007,2.853,mid
2007,3.128,hi 
2007,3.07,mid
2008,3.095,hi 
2008,3.078,hi
2008,3.293,hi
2008,3.507,mid
2008,3.815,hi 
2008,4.105,hi 
2008,4.114,hi 
2008,3.833,hi 
2008,3.756,hi
2008,3.112,mid
2008,2.208,lo
2008,1.745,lo 
2009,1.84,lo
2009,1.97,lo 
2009,2.011,lo 
2009,2.102,lo
2009,2.316,lo
2009,2.681,lo 
2009,2.582,lo 
2009,2.67,lo 
2009,2.609,lo 
2009,2.605,lo 
2009,2.706,mid
2010,2.769,mid
2010,2.699,mid
2010,2.824,mid
2010,2.9,mid
2010,2.89,mid
2010,2.785,lo 
2010,2.782,lo 
2010,2.783,lo 
2010,2.757,lo 
2010,2.853,lo 
2010,2.913,lo 
2010,3.048,lo
2011,3.148,lo 
2011,3.284,mid
2011,3.615,mid
2011,3.852,mid
2011,3.96,mid
2011,3.735,mid
2011,3.705,mid
2011,3.696,mid
2011,3.667,mid
2011,3.506,mid
2011,3.443,mid
2012,3.326,mid
2012,3.44,mid
2012,3.64,mid
2012,3.907,mid
2012,3.958,lo
2012,3.791,lo
2012,3.596,lo
2012,3.498,lo
2012,3.78,mid
2012,3.91,mid
2012,3.812,lo 
2012,3.521,lo 
2013,3.391,lo  
2013,3.779,mid
2013,3.638,lo 
2013,3.675,lo 
2013,3.689,lo
2013,3.661,lo
2013,3.645,mid
2013,3.604,lo 
2013,3.42,lo 
2013,3.322,lo 
2013,3.357,lo 
2013,3.357,lo
2014,3.392,lo
2014,3.434,lo
2014,3.606,lo
2014,3.735,mid
2014,3.75,mid
2014,3.766,mid
2014,3.688,mid
2014,3.565,lo
2014,3.484,lo
2014,3.255,lo
2014,2.997,lo
2014,2.632,lo
2015,2.208,lo
2015,2.301,lo
2015,2.546,lo
2015,2.555,lo
2015,2.802,lo
2015,2.885,lo
2015,2.88,lo
2015,2.726,lo
2015,2.462,lo
2015,2.387,lo
2015,2.26,lo
2015,2.144,lo
2016,2.057,lo
2016,1.872,lo 
2016,2.071,lo
2016,2.216,lo
2016,2.371,lo
2016,2.467,lo
2016,2.345,lo
2016,2.284,lo
2016,2.327,lo 
2016,2.359,lo
2016,2.295,lo
2016,2.366,mid
2017,2.458,mid
2017,2.416,mid
2017,2.437,mid
2017,2.528,mid
2017,2.503,lo
2017,2.46,lo
2017,2.414,lo
2017,2.494,lo
2017,2.761,mid
2017,2.621,mid
2017,2.678,mid
2017,2.594,mid
2018,2.671,mid
2018,2.705,mid
2018,2.709,mid
2018,2.873,mid
2018,2.987,mid
2018,2.97,mid
2018,2.928,mid
2018,2.914,mid
2018,2.915,mid
2018,2.943,mid
2018,2.736,mid
2018,2.457,lo
2019,2.338,lo
2019,2.393,lo
2019,2.594,lo
2019,2.881,mid
2019,2.946,lo
2019,2.804,lo
2019,2.823,lo
2019,2.707,lo
2019,2.681,lo
2019,2.724,lo
2019,2.693,mid
2019,2.645,mid
2020,2.636,mid
2020,2.533,mid
2020,2.329,lo
2020,1.938,lo
2020,1.961,lo
2020,2.17,lo
2020,2.272,lo
2020,2.272,lo
2020,2.274,lo
2020,2.248,lo
2020,2.2,lo
2020,2.284,lo
2021,2.42,lo
2021,2.587,lo
2021,2.898,mid
2021,2.948,hi
2021,3.076,hi
2021,3.157,hi
2021,3.231,hi
2021,3.255,hi
2021,3.272,hi
2021,3.384,hi
2021,3.491,hi
2021,3.406,hi
2022,3.413,lo
2022,3.611,lo
2022,4.322,mid
2022,4.213,hi
2022,4.545,hi
2022,5.032,hi
2022,4.668,hi
2022,4.087,hi
2022,3.817,hi
2022,3.935,hi
2022,3.799,hi
2022,3.324,hi
2023,3.445,hi
2023,3.501,hi
2023,3.535,hi
2023,3.711,hi
2023,3.666,hi
2023,3.684,mid
2023,3.712,mid
2023,3.954,mid
2023,3.958,mid
2023,3.742,mid
2023,3.443,hi
2023,3.257,hi
